Technique,Accuracy@1,Accuracy@5,Accuracy@10,MRR@10,MAP@10
GenLoc,44.01,63.27,68.28,0.52,0.41
BugLocator,24.19,46.20,56.65,0.33,0.26
BLUiR,26.49,49.04,59.82,0.36,0.28
BRTracer,26.84,51.21,60.42,0.37,0.29
DreamLoc,26.33,52.32,63.07,0.37,0.30
