Technique,Accuracy@1,Accuracy@5,Accuracy@10,MRR@10,MAP@10
GenLoc,63.36,76.85,79.65,0.69,0.59
BRaIN,22.9,51.15,61.07,0.34,0.28
LLM-BL,50.38,63.11,67.18,0.56,0.47
