Technique,Accuracy@1,Accuracy@5,Accuracy@10,MRR@10,MAP@10
GenLoc,60.66666667,80.22333333,84.00333333,0.696666667,0.696666667
CoSIL,52.66666667,74.44333333,78.89,0.62,0.62
LocAgent,28.33333333,40.11,40.99666667,0.333333333,0.333333333
